integer,sequence
2,2 1
3,3 10 5 16 8 4 2 1
4,4 2 1
5,5 16 8 4 2 1
6,6 3 10 5 16 8 4 2 1
7,7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
8,8 4 2 1
9,9 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
10,10 5 16 8 4 2 1
11,11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
12,12 6 3 10 5 16 8 4 2 1
13,13 40 20 10 5 16 8 4 2 1
14,14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
15,15 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
16,16 8 4 2 1
17,17 52 26 13 40 20 10 5 16 8 4 2 1
18,18 9 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
19,19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
20,20 10 5 16 8 4 2 1
21,21 64 32 16 8 4 2 1
22,22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
23,23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
24,24 12 6 3 10 5 16 8 4 2 1
25,25 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
26,26 13 40 20 10 5 16 8 4 2 1
27,27 82 41 124 62 31 94 47 142 71 214 107 322 161 484 242 121 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
28,28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
29,29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
30,30 15 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
31,31 94 47 142 71 214 107 322 161 484 242 121 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
32,32 16 8 4 2 1
33,33 100 50 25 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
34,34 17 52 26 13 40 20 10 5 16 8 4 2 1
35,35 106 53 160 80 40 20 10 5 16 8 4 2 1
36,36 18 9 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
37,37 112 56 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
38,38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
39,39 118 59 178 89 268 134 67 202 101 304 152 76 38 19 58 29 88 44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
40,40 20 10 5 16 8 4 2 1
41,41 124 62 31 94 47 142 71 214 107 322 161 484 242 121 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
42,42 21 64 32 16 8 4 2 1
43,43 130 65 196 98 49 148 74 37 112 56 28 14 7 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
44,44 22 11 34 17 52 26 13 40 20 10 5 16 8 4 2 1
45,45 136 68 34 17 52 26 13 40 20 10 5 16 8 4 2 1
46,46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
47,47 142 71 214 107 322 161 484 242 121 364 182 91 274 137 412 206 103 310 155 466 233 700 350 175 526 263 790 395 1186 593 1780 890 445 1336 668 334 167 502 251 754 377 1132 566 283 850 425 1276 638 319 958 479 1438 719 2158 1079 3238 1619 4858 2429 7288 3644 1822 911 2734 1367 4102 2051 6154 3077 9232 4616 2308 1154 577 1732 866 433 1300 650 325 976 488 244 122 61 184 92 46 23 70 35 106 53 160 80 40 20 10 5 16 8 4 2 1
